id_cliente,segmento_comprador,pais,ciudad
CUST00055,Inversionista,Colombia,Bogotá
CUST00056,Alto patrimonio,Mexico,Ciudad de México
CUST00057,Primera vez,Colombia,Bogotá
CUST00058,Primera vez,Colombia,Bogotá
CUST00059,Primera vez,Colombia,Bogotá
CUST00060,Primera vez,Colombia,Bogotá
CUST00061,Primera vez,Colombia,Bogotá
CUST00062,Primera vez,Mexico,Ciudad de México
CUST00063,Inversionista,Colombia,Bogotá
CUST00064,Primera vez,Colombia,Bogotá
CUST00065,Primera vez,Colombia,Bogotá
CUST00066,Primera vez,Mexico,Ciudad de México
CUST00067,Primera vez,Mexico,Ciudad de México
CUST00068,Inversionista,Mexico,Ciudad de México
CUST00069,Primera vez,Mexico,Ciudad de México
CUST00070,Alto patrimonio,Mexico,Ciudad de México
CUST00071,Inversionista,Colombia,Bogotá
CUST00072,Primera vez,Mexico,Ciudad de México
CUST00073,Primera vez,Mexico,Ciudad de México
CUST00074,Inversionista,Mexico,Ciudad de México
CUST00075,Inversionista,Mexico,Ciudad de México
CUST00076,Inversionista,Colombia,Bogotá
CUST00077,Inversionista,Colombia,Bogotá
CUST00078,Primera vez,Colombia,Bogotá
CUST00079,Primera vez,Mexico,Ciudad de México
CUST00080,Primera vez,Colombia,Bogotá
CUST00081,Alto patrimonio,Colombia,Bogotá
CUST00082,Inversionista,Mexico,Ciudad de México
CUST00083,Primera vez,Colombia,Bogotá
CUST00084,Primera vez,Mexico,Ciudad de México
CUST00085,Primera vez,Colombia,Bogotá
CUST00086,Primera vez,Colombia,Bogotá
CUST00087,Inversionista,Colombia,Bogotá
CUST00088,Inversionista,Mexico,Ciudad de México
CUST00089,Alto patrimonio,Colombia,Bogotá
CUST00090,Primera vez,Colombia,Bogotá
CUST00091,Primera vez,Mexico,Ciudad de México
CUST00092,Inversionista,Colombia,Bogotá
CUST00093,Inversionista,Mexico,Ciudad de México
CUST00094,Inversionista,Mexico,Ciudad de México
CUST00095,Inversionista,Colombia,Bogotá
CUST00096,Primera vez,Mexico,Ciudad de México
CUST00097,Primera vez,Colombia,Bogotá
CUST00098,Primera vez,Mexico,Ciudad de México
CUST00099,Primera vez,Colombia,Bogotá
CUST00100,Primera vez,Mexico,Ciudad de México
CUST00101,Primera vez,Colombia,Bogotá
CUST00102,Inversionista,Mexico,Ciudad de México
CUST00103,Primera vez,Colombia,Bogotá
CUST00104,Primera vez,Colombia,Bogotá
CUST00105,Alto patrimonio,Colombia,Bogotá
CUST00106,Primera vez,Colombia,Bogotá
CUST00107,Primera vez,Mexico,Ciudad de México
CUST00108,Inversionista,Colombia,Bogotá
CUST00109,Primera vez,Mexico,Ciudad de México
CUST00110,Primera vez,Mexico,Ciudad de México
CUST00111,Primera vez,Mexico,Ciudad de México
CUST00112,Primera vez,Colombia,Bogotá
CUST00113,Alto patrimonio,Colombia,Bogotá
CUST00114,Inversionista,Mexico,Ciudad de México
CUST00115,Inversionista,Colombia,Bogotá
CUST00116,Alto patrimonio,Colombia,Bogotá
CUST00117,Inversionista,Mexico,Ciudad de México
CUST00118,Primera vez,Mexico,Ciudad de México
CUST00119,Alto patrimonio,Mexico,Ciudad de México
CUST00120,Primera vez,Colombia,Bogotá
CUST00121,Inversionista,Mexico,Ciudad de México
CUST00122,Alto patrimonio,Colombia,Bogotá
CUST00123,Primera vez,Colombia,Bogotá
CUST00124,Primera vez,Mexico,Ciudad de México
CUST00125,Primera vez,Colombia,Bogotá
CUST00126,Primera vez,Colombia,Bogotá
CUST00127,Inversionista,Colombia,Bogotá
CUST00128,Alto patrimonio,Mexico,Ciudad de México
CUST00129,Primera vez,Mexico,Ciudad de México
CUST00130,Primera vez,Mexico,Ciudad de México
CUST00131,Primera vez,Mexico,Ciudad de México
CUST00132,Primera vez,Colombia,Bogotá
CUST00133,Primera vez,Colombia,Bogotá
CUST00134,Primera vez,Colombia,Bogotá
CUST00135,Alto patrimonio,Colombia,Bogotá
CUST00136,Primera vez,Colombia,Bogotá
CUST00137,Primera vez,Mexico,Ciudad de México
CUST00138,Inversionista,Colombia,Bogotá
CUST00139,Primera vez,Colombia,Bogotá
CUST00140,Alto patrimonio,Colombia,Bogotá
CUST00141,Alto patrimonio,Colombia,Bogotá
CUST00142,Primera vez,Mexico,Ciudad de México
CUST00143,Primera vez,Colombia,Bogotá
CUST00144,Primera vez,Colombia,Bogotá
CUST00145,Primera vez,Mexico,Ciudad de México
CUST00146,Primera vez,Colombia,Bogotá
CUST00147,Inversionista,Colombia,Bogotá
CUST00148,Primera vez,Colombia,Bogotá
CUST00149,Primera vez,Mexico,Ciudad de México
CUST00150,Primera vez,Mexico,Ciudad de México
CUST00151,Alto patrimonio,Mexico,Ciudad de México
CUST00152,Primera vez,Colombia,Bogotá
CUST00153,Primera vez,Mexico,Ciudad de México
CUST00154,Primera vez,Colombia,Bogotá
CUST00155,Alto patrimonio,Colombia,Bogotá
CUST00156,Primera vez,Colombia,Bogotá
CUST00157,Inversionista,Colombia,Bogotá
CUST00158,Inversionista,Colombia,Bogotá
CUST00159,Primera vez,Mexico,Ciudad de México
CUST00160,Inversionista,Mexico,Ciudad de México
CUST00161,Primera vez,Colombia,Bogotá
CUST00162,Inversionista,Colombia,Bogotá
CUST00163,Inversionista,Colombia,Bogotá
CUST00164,Primera vez,Colombia,Bogotá
CUST00165,Primera vez,Mexico,Ciudad de México
CUST00166,Inversionista,Colombia,Bogotá
CUST00167,Primera vez,Mexico,Ciudad de México
CUST00168,Primera vez,Colombia,Bogotá
CUST00169,Primera vez,Colombia,Bogotá
CUST00170,Inversionista,Colombia,Bogotá
CUST00171,Inversionista,Colombia,Bogotá
CUST00172,Primera vez,Colombia,Bogotá
CUST00173,Primera vez,Mexico,Ciudad de México
CUST00174,Primera vez,Colombia,Bogotá
CUST00175,Inversionista,Mexico,Ciudad de México
CUST00176,Primera vez,Colombia,Bogotá
CUST00177,Inversionista,Colombia,Bogotá
CUST00178,Primera vez,Colombia,Bogotá
CUST00179,Alto patrimonio,Mexico,Ciudad de México
CUST00180,Primera vez,Colombia,Bogotá
CUST00181,Primera vez,Mexico,Ciudad de México
CUST00182,Primera vez,Colombia,Bogotá
CUST00183,Alto patrimonio,Mexico,Ciudad de México
CUST00184,Alto patrimonio,Colombia,Bogotá
CUST00185,Primera vez,Mexico,Ciudad de México
CUST00186,Inversionista,Mexico,Ciudad de México
CUST00187,Inversionista,Mexico,Ciudad de México
CUST00188,Inversionista,Colombia,Bogotá
CUST00189,Primera vez,Colombia,Bogotá
CUST00190,Primera vez,Colombia,Bogotá
CUST00191,Primera vez,Mexico,Ciudad de México
CUST00192,Alto patrimonio,Mexico,Ciudad de México
CUST00193,Alto patrimonio,Mexico,Ciudad de México
CUST00194,Inversionista,Colombia,Bogotá
CUST00195,Primera vez,Colombia,Bogotá
CUST00196,Primera vez,Colombia,Bogotá
CUST00197,Inversionista,Mexico,Ciudad de México
CUST00198,Alto patrimonio,Mexico,Ciudad de México
CUST00199,Alto patrimonio,Mexico,Ciudad de México
CUST00200,Inversionista,Colombia,Bogotá
CUST00201,Inversionista,Mexico,Ciudad de México
CUST00202,Primera vez,Mexico,Ciudad de México
CUST00203,Primera vez,Colombia,Bogotá
CUST00204,Alto patrimonio,Mexico,Ciudad de México
CUST00205,Inversionista,Mexico,Ciudad de México
CUST00206,Primera vez,Mexico,Ciudad de México
CUST00207,Primera vez,Mexico,Ciudad de México
CUST00208,Inversionista,Colombia,Bogotá
CUST00209,Primera vez,Colombia,Bogotá
CUST00210,Primera vez,Mexico,Ciudad de México
CUST00211,Primera vez,Colombia,Bogotá
CUST00212,Inversionista,Mexico,Ciudad de México
CUST00213,Inversionista,Mexico,Ciudad de México
CUST00214,Primera vez,Mexico,Ciudad de México
CUST00215,Inversionista,Mexico,Ciudad de México
CUST00216,Primera vez,Colombia,Bogotá
CUST00217,Primera vez,Colombia,Bogotá
CUST00218,Inversionista,Colombia,Bogotá
CUST00219,Inversionista,Colombia,Bogotá
CUST00220,Inversionista,Colombia,Bogotá
CUST00221,Inversionista,Colombia,Bogotá
CUST00222,Inversionista,Mexico,Ciudad de México
CUST00223,Primera vez,Mexico,Ciudad de México
CUST00224,Primera vez,Colombia,Bogotá
CUST00225,Primera vez,Colombia,Bogotá
CUST00226,Primera vez,Mexico,Ciudad de México
CUST00227,Alto patrimonio,Colombia,Bogotá
CUST00228,Primera vez,Colombia,Bogotá
CUST00229,Alto patrimonio,Colombia,Bogotá
CUST00230,Inversionista,Mexico,Ciudad de México
CUST00231,Inversionista,Colombia,Bogotá
CUST00232,Primera vez,Mexico,Ciudad de México
CUST00233,Inversionista,Colombia,Bogotá
CUST00234,Primera vez,Colombia,Bogotá
CUST00235,Primera vez,Colombia,Bogotá
CUST00236,Inversionista,Colombia,Bogotá
CUST00237,Primera vez,Mexico,Ciudad de México
CUST00238,Primera vez,Mexico,Ciudad de México
CUST00239,Inversionista,Mexico,Ciudad de México
CUST00240,Primera vez,Mexico,Ciudad de México
CUST00241,Alto patrimonio,Mexico,Ciudad de México
CUST00242,Alto patrimonio,Mexico,Ciudad de México
CUST00243,Alto patrimonio,Mexico,Ciudad de México
CUST00244,Primera vez,Colombia,Bogotá
CUST00245,Primera vez,Colombia,Bogotá
CUST00246,Alto patrimonio,Colombia,Bogotá
CUST00247,Primera vez,Mexico,Ciudad de México
CUST00248,Alto patrimonio,Colombia,Bogotá
CUST00249,Alto patrimonio,Colombia,Bogotá
CUST00250,Alto patrimonio,Mexico,Ciudad de México
CUST00251,Primera vez,Mexico,Ciudad de México
CUST00252,Primera vez,Mexico,Ciudad de México
CUST00253,Alto patrimonio,Colombia,Bogotá
CUST00254,Primera vez,Mexico,Ciudad de México
CUST00255,Primera vez,Colombia,Bogotá
CUST00256,Inversionista,Colombia,Bogotá
CUST00257,Alto patrimonio,Colombia,Bogotá
CUST00258,Inversionista,Colombia,Bogotá
CUST00259,Inversionista,Colombia,Bogotá
CUST00260,Primera vez,Mexico,Ciudad de México
CUST00261,Inversionista,Colombia,Bogotá
CUST00262,Alto patrimonio,Mexico,Ciudad de México
CUST00263,Primera vez,Mexico,Ciudad de México
CUST00264,Primera vez,Colombia,Bogotá
CUST00265,Alto patrimonio,Colombia,Bogotá
CUST00266,Inversionista,Colombia,Bogotá
CUST00267,Inversionista,Mexico,Ciudad de México
CUST00268,Inversionista,Colombia,Bogotá
CUST00269,Primera vez,Colombia,Bogotá
CUST00270,Primera vez,Colombia,Bogotá
CUST00271,Inversionista,Mexico,Ciudad de México
CUST00272,Inversionista,Mexico,Ciudad de México
CUST00273,Alto patrimonio,Colombia,Bogotá
CUST00274,Alto patrimonio,Mexico,Ciudad de México
CUST00275,Primera vez,Mexico,Ciudad de México
CUST00276,Primera vez,Mexico,Ciudad de México
CUST00277,Inversionista,Mexico,Ciudad de México
CUST00278,Inversionista,Mexico,Ciudad de México
CUST00279,Inversionista,Mexico,Ciudad de México
CUST00280,Inversionista,Mexico,Ciudad de México
CUST00281,Alto patrimonio,Colombia,Bogotá
CUST00282,Primera vez,Colombia,Bogotá
CUST00283,Primera vez,Colombia,Bogotá
CUST00284,Primera vez,Mexico,Ciudad de México
CUST00285,Inversionista,Mexico,Ciudad de México
CUST00286,Primera vez,Colombia,Bogotá
CUST00287,Primera vez,Mexico,Ciudad de México
CUST00288,Primera vez,Colombia,Bogotá
CUST00289,Primera vez,Colombia,Bogotá
CUST00290,Inversionista,Mexico,Ciudad de México
CUST00291,Primera vez,Colombia,Bogotá
CUST00292,Primera vez,Colombia,Bogotá
CUST00293,Inversionista,Mexico,Ciudad de México
CUST00294,Primera vez,Mexico,Ciudad de México
CUST00295,Primera vez,Colombia,Bogotá
CUST00296,Primera vez,Mexico,Ciudad de México
CUST00297,Inversionista,Mexico,Ciudad de México
CUST00298,Primera vez,Colombia,Bogotá
CUST00299,Inversionista,Colombia,Bogotá
CUST00300,Primera vez,Mexico,Ciudad de México
CUST00301,Primera vez,Colombia,Bogotá
CUST00302,Primera vez,Mexico,Ciudad de México
CUST00303,Primera vez,Mexico,Ciudad de México
CUST00304,Inversionista,Mexico,Ciudad de México
CUST00305,Inversionista,Colombia,Bogotá
CUST00306,Alto patrimonio,Mexico,Ciudad de México
CUST00307,Primera vez,Colombia,Bogotá
CUST00308,Primera vez,Colombia,Bogotá
CUST00309,Inversionista,Colombia,Bogotá
CUST00310,Primera vez,Colombia,Bogotá
CUST00311,Primera vez,Mexico,Ciudad de México
CUST00312,Primera vez,Colombia,Bogotá
CUST00313,Primera vez,Colombia,Bogotá
CUST00314,Alto patrimonio,Mexico,Ciudad de México
CUST00315,Inversionista,Colombia,Bogotá
CUST00316,Inversionista,Mexico,Ciudad de México
CUST00317,Primera vez,Colombia,Bogotá
CUST00318,Primera vez,Mexico,Ciudad de México
CUST00319,Primera vez,Mexico,Ciudad de México
CUST00320,Primera vez,Colombia,Bogotá
CUST00321,Primera vez,Colombia,Bogotá
CUST00322,Inversionista,Colombia,Bogotá
CUST00323,Inversionista,Mexico,Ciudad de México
CUST00324,Primera vez,Colombia,Bogotá
CUST00325,Alto patrimonio,Colombia,Bogotá
CUST00326,Inversionista,Colombia,Bogotá
CUST00327,Inversionista,Colombia,Bogotá
CUST00328,Inversionista,Colombia,Bogotá
CUST00329,Primera vez,Mexico,Ciudad de México
CUST00330,Primera vez,Colombia,Bogotá
CUST00331,Primera vez,Colombia,Bogotá
CUST00332,Inversionista,Mexico,Ciudad de México
CUST00333,Primera vez,Mexico,Ciudad de México
CUST00334,Primera vez,Colombia,Bogotá
CUST00335,Primera vez,Colombia,Bogotá
CUST00336,Primera vez,Colombia,Bogotá
CUST00337,Alto patrimonio,Mexico,Ciudad de México
CUST00338,Inversionista,Colombia,Bogotá
CUST00339,Primera vez,Mexico,Ciudad de México
CUST00340,Primera vez,Mexico,Ciudad de México
CUST00341,Primera vez,Mexico,Ciudad de México
CUST00342,Primera vez,Colombia,Bogotá
CUST00343,Primera vez,Colombia,Bogotá
CUST00344,Primera vez,Colombia,Bogotá
CUST00345,Primera vez,Colombia,Bogotá
CUST00346,Inversionista,Mexico,Ciudad de México
CUST00347,Inversionista,Mexico,Ciudad de México
CUST00348,Primera vez,Mexico,Ciudad de México
CUST00349,Primera vez,Mexico,Ciudad de México
CUST00350,Inversionista,Colombia,Bogotá
CUST00351,Primera vez,Colombia,Bogotá
CUST00352,Alto patrimonio,Colombia,Bogotá
CUST00353,Inversionista,Mexico,Ciudad de México
CUST00354,Primera vez,Mexico,Ciudad de México
CUST00355,Primera vez,Mexico,Ciudad de México
CUST00356,Inversionista,Colombia,Bogotá
CUST00357,Primera vez,Colombia,Bogotá
CUST00358,Inversionista,Mexico,Ciudad de México
CUST00359,Alto patrimonio,Colombia,Bogotá
CUST00360,Inversionista,Mexico,Ciudad de México
CUST00361,Primera vez,Mexico,Ciudad de México
CUST00362,Inversionista,Mexico,Ciudad de México
CUST00363,Primera vez,Colombia,Bogotá
CUST00364,Primera vez,Colombia,Bogotá
CUST00365,Alto patrimonio,Colombia,Bogotá
CUST00366,Primera vez,Colombia,Bogotá
CUST00367,Alto patrimonio,Colombia,Bogotá
CUST00368,Alto patrimonio,Mexico,Ciudad de México
CUST00369,Primera vez,Mexico,Ciudad de México
CUST00370,Primera vez,Colombia,Bogotá
CUST00371,Primera vez,Colombia,Bogotá
CUST00372,Primera vez,Colombia,Bogotá
CUST00373,Primera vez,Colombia,Bogotá
CUST00374,Inversionista,Mexico,Ciudad de México
CUST00375,Primera vez,Colombia,Bogotá
CUST00376,Primera vez,Colombia,Bogotá
CUST00377,Inversionista,Colombia,Bogotá
CUST00378,Primera vez,Mexico,Ciudad de México
CUST00379,Inversionista,Mexico,Ciudad de México
CUST00380,Primera vez,Colombia,Bogotá
CUST00381,Primera vez,Colombia,Bogotá
CUST00382,Inversionista,Mexico,Ciudad de México
CUST00383,Inversionista,Mexico,Ciudad de México
CUST00384,Alto patrimonio,Colombia,Bogotá
CUST00385,Inversionista,Mexico,Ciudad de México
CUST00386,Inversionista,Mexico,Ciudad de México
CUST00387,Primera vez,Mexico,Ciudad de México
CUST00388,Primera vez,Mexico,Ciudad de México
CUST00389,Inversionista,Mexico,Ciudad de México
CUST00390,Inversionista,Colombia,Bogotá
CUST00391,Alto patrimonio,Mexico,Ciudad de México
CUST00392,Primera vez,Mexico,Ciudad de México
CUST00393,Primera vez,Mexico,Ciudad de México
CUST00394,Inversionista,Colombia,Bogotá
CUST00395,Primera vez,Mexico,Ciudad de México
CUST00396,Alto patrimonio,Mexico,Ciudad de México
CUST00397,Alto patrimonio,Colombia,Bogotá
CUST00398,Primera vez,Mexico,Ciudad de México
CUST00399,Inversionista,Mexico,Ciudad de México
CUST00400,Inversionista,Mexico,Ciudad de México
CUST00401,Primera vez,Colombia,Bogotá
CUST00402,Alto patrimonio,Colombia,Bogotá
CUST00403,Primera vez,Mexico,Ciudad de México
CUST00404,Inversionista,Colombia,Bogotá
CUST00405,Primera vez,Mexico,Ciudad de México
CUST00406,Alto patrimonio,Colombia,Bogotá
CUST00407,Primera vez,Colombia,Bogotá
CUST00408,Primera vez,Colombia,Bogotá
CUST00409,Alto patrimonio,Mexico,Ciudad de México
CUST00410,Primera vez,Colombia,Bogotá
CUST00411,Primera vez,Colombia,Bogotá
CUST00412,Alto patrimonio,Colombia,Bogotá
CUST00413,Alto patrimonio,Colombia,Bogotá
CUST00414,Inversionista,Mexico,Ciudad de México
CUST00415,Inversionista,Mexico,Ciudad de México
CUST00416,Primera vez,Colombia,Bogotá
CUST00417,Primera vez,Mexico,Ciudad de México
CUST00418,Primera vez,Colombia,Bogotá
CUST00419,Inversionista,Mexico,Ciudad de México
CUST00420,Inversionista,Mexico,Ciudad de México
CUST00421,Inversionista,Mexico,Ciudad de México
CUST00422,Inversionista,Colombia,Bogotá
CUST00423,Primera vez,Mexico,Ciudad de México
CUST00424,Primera vez,Colombia,Bogotá
CUST00425,Primera vez,Mexico,Ciudad de México
CUST00426,Primera vez,Colombia,Bogotá
CUST00427,Primera vez,Mexico,Ciudad de México
CUST00428,Alto patrimonio,Mexico,Ciudad de México
CUST00429,Primera vez,Mexico,Ciudad de México
CUST00430,Primera vez,Colombia,Bogotá
CUST00431,Primera vez,Mexico,Ciudad de México
CUST00432,Inversionista,Colombia,Bogotá
CUST00433,Inversionista,Mexico,Ciudad de México
CUST00434,Primera vez,Colombia,Bogotá
CUST00435,Primera vez,Colombia,Bogotá
CUST00436,Inversionista,Mexico,Ciudad de México
CUST00437,Primera vez,Colombia,Bogotá
CUST00438,Inversionista,Colombia,Bogotá
CUST00439,Inversionista,Colombia,Bogotá
CUST00440,Primera vez,Colombia,Bogotá
CUST00441,Primera vez,Mexico,Ciudad de México
CUST00442,Alto patrimonio,Mexico,Ciudad de México
CUST00443,Primera vez,Colombia,Bogotá
CUST00444,Primera vez,Colombia,Bogotá
CUST00445,Inversionista,Colombia,Bogotá
CUST00446,Alto patrimonio,Colombia,Bogotá
CUST00447,Alto patrimonio,Mexico,Ciudad de México
CUST00448,Inversionista,Mexico,Ciudad de México
CUST00449,Primera vez,Colombia,Bogotá
CUST00450,Primera vez,Colombia,Bogotá
CUST00451,Inversionista,Colombia,Bogotá
CUST00452,Inversionista,Mexico,Ciudad de México
CUST00453,Primera vez,Mexico,Ciudad de México
CUST00454,Alto patrimonio,Colombia,Bogotá
CUST00455,Primera vez,Colombia,Bogotá
CUST00456,Primera vez,Mexico,Ciudad de México
CUST00457,Primera vez,Mexico,Ciudad de México
CUST00458,Primera vez,Colombia,Bogotá
CUST00459,Primera vez,Colombia,Bogotá
CUST00460,Primera vez,Colombia,Bogotá
CUST00461,Primera vez,Mexico,Ciudad de México
CUST00462,Inversionista,Colombia,Bogotá
CUST00463,Inversionista,Colombia,Bogotá
CUST00464,Inversionista,Mexico,Ciudad de México
CUST00465,Alto patrimonio,Colombia,Bogotá
CUST00466,Primera vez,Mexico,Ciudad de México
CUST00467,Primera vez,Colombia,Bogotá
CUST00468,Alto patrimonio,Colombia,Bogotá
CUST00469,Primera vez,Mexico,Ciudad de México
CUST00470,Alto patrimonio,Colombia,Bogotá
CUST00471,Primera vez,Mexico,Ciudad de México
CUST00472,Alto patrimonio,Mexico,Ciudad de México
CUST00473,Primera vez,Colombia,Bogotá
CUST00474,Alto patrimonio,Mexico,Ciudad de México
CUST00475,Primera vez,Colombia,Bogotá
CUST00476,Alto patrimonio,Mexico,Ciudad de México
CUST00477,Primera vez,Colombia,Bogotá
CUST00478,Inversionista,Mexico,Ciudad de México
CUST00479,Alto patrimonio,Colombia,Bogotá
CUST00480,Primera vez,Colombia,Bogotá
CUST00481,Inversionista,Mexico,Ciudad de México
CUST00482,Inversionista,Mexico,Ciudad de México
CUST00483,Primera vez,Colombia,Bogotá
CUST00484,Inversionista,Colombia,Bogotá
CUST00485,Inversionista,Mexico,Ciudad de México
CUST00486,Alto patrimonio,Mexico,Ciudad de México
CUST00487,Primera vez,Colombia,Bogotá
CUST00488,Primera vez,Colombia,Bogotá
CUST00489,Alto patrimonio,Colombia,Bogotá
CUST00490,Alto patrimonio,Mexico,Ciudad de México
CUST00491,Primera vez,Colombia,Bogotá
CUST00492,Inversionista,Colombia,Bogotá
CUST00493,Primera vez,Mexico,Ciudad de México
CUST00494,Primera vez,Colombia,Bogotá
CUST00495,Primera vez,Colombia,Bogotá
CUST00496,Primera vez,Colombia,Bogotá
CUST00497,Inversionista,Colombia,Bogotá
CUST00498,Primera vez,Colombia,Bogotá
CUST00499,Alto patrimonio,Mexico,Ciudad de México
CUST00500,Alto patrimonio,Colombia,Bogotá
CUST00501,Inversionista,Mexico,Ciudad de México
CUST00502,Primera vez,Mexico,Ciudad de México
CUST00503,Primera vez,Mexico,Ciudad de México
CUST00504,Inversionista,Colombia,Bogotá
CUST00505,Inversionista,Colombia,Bogotá
CUST00506,Primera vez,Colombia,Bogotá
CUST00507,Alto patrimonio,Colombia,Bogotá
CUST00508,Inversionista,Colombia,Bogotá
CUST00509,Alto patrimonio,Mexico,Ciudad de México
CUST00510,Inversionista,Colombia,Bogotá
CUST00511,Inversionista,Colombia,Bogotá
CUST00512,Primera vez,Colombia,Bogotá
CUST00513,Alto patrimonio,Mexico,Ciudad de México
CUST00514,Alto patrimonio,Colombia,Bogotá
CUST00515,Primera vez,Mexico,Ciudad de México
CUST00516,Primera vez,Colombia,Bogotá
CUST00517,Primera vez,Mexico,Ciudad de México
CUST00518,Inversionista,Mexico,Ciudad de México
CUST00519,Alto patrimonio,Colombia,Bogotá
CUST00520,Primera vez,Colombia,Bogotá
CUST00521,Inversionista,Colombia,Bogotá
CUST00522,Primera vez,Colombia,Bogotá
CUST00523,Alto patrimonio,Mexico,Ciudad de México
CUST00524,Inversionista,Mexico,Ciudad de México
CUST00525,Inversionista,Mexico,Ciudad de México
CUST00526,Primera vez,Mexico,Ciudad de México
CUST00527,Primera vez,Colombia,Bogotá
CUST00528,Primera vez,Colombia,Bogotá
CUST00529,Primera vez,Mexico,Ciudad de México
CUST00530,Alto patrimonio,Colombia,Bogotá
CUST00531,Inversionista,Mexico,Ciudad de México
CUST00532,Alto patrimonio,Colombia,Bogotá
CUST00533,Alto patrimonio,Colombia,Bogotá
CUST00534,Inversionista,Mexico,Ciudad de México
CUST00535,Inversionista,Colombia,Bogotá
CUST00536,Alto patrimonio,Mexico,Ciudad de México
CUST00537,Inversionista,Mexico,Ciudad de México
CUST00538,Primera vez,Mexico,Ciudad de México
CUST00539,Primera vez,Mexico,Ciudad de México
CUST00540,Primera vez,Mexico,Ciudad de México
CUST00541,Alto patrimonio,Mexico,Ciudad de México
CUST00542,Inversionista,Colombia,Bogotá
CUST00543,Primera vez,Colombia,Bogotá
CUST00544,Inversionista,Mexico,Ciudad de México
CUST00545,Inversionista,Colombia,Bogotá
CUST00546,Primera vez,Colombia,Bogotá
CUST00547,Primera vez,Colombia,Bogotá
CUST00548,Inversionista,Mexico,Ciudad de México
CUST00549,Primera vez,Mexico,Ciudad de México
CUST00550,Inversionista,Colombia,Bogotá
CUST00551,Primera vez,Mexico,Ciudad de México
CUST00552,Alto patrimonio,Mexico,Ciudad de México
CUST00553,Inversionista,Mexico,Ciudad de México
CUST00554,Inversionista,Mexico,Ciudad de México
CUST00555,Alto patrimonio,Mexico,Ciudad de México
CUST00556,Primera vez,Colombia,Bogotá
CUST00557,Primera vez,Mexico,Ciudad de México
CUST00558,Primera vez,Colombia,Bogotá
CUST00559,Inversionista,Mexico,Ciudad de México
CUST00560,Inversionista,Mexico,Ciudad de México
CUST00561,Inversionista,Colombia,Bogotá
CUST00562,Primera vez,Colombia,Bogotá
CUST00563,Primera vez,Mexico,Ciudad de México
CUST00564,Primera vez,Colombia,Bogotá
CUST00565,Primera vez,Mexico,Ciudad de México
CUST00566,Inversionista,Colombia,Bogotá
CUST00567,Primera vez,Colombia,Bogotá
CUST00568,Primera vez,Mexico,Ciudad de México
CUST00569,Alto patrimonio,Mexico,Ciudad de México
CUST00570,Primera vez,Mexico,Ciudad de México
CUST00571,Primera vez,Colombia,Bogotá
